favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
2,Twitter for iPhone,Danske Bank in NI made a q3 pre-tax profit of £98m (including £23m of writebacks). Says EU vote 'appears not to have had a major effect',,False,Fri Oct 28 06:16:14 +0000 2016,5,791886270809202688
2,Twitter Web Client,"The Business Development Director of Kainos, Paul Gannon has sold 400,000 of his shares in the company for about £1… https://t.co/GV2H3WyWi5",,False,Wed Jul 04 14:20:29 +0000 2018,0,1014514288030113792
4,Twitter for iPhone,This phone quality audio feed of the US Appeals Court and a photo of a building makes for striking television.,,False,Tue Feb 07 23:13:29 +0000 2017,0,829105834768625665
0,Mobile Web (M2),Sammy Wilson accuse NI Nama inquiry of 'incompetence &amp; bias' &amp; taking evidence from 'useful idiots',,False,Thu Dec 03 14:44:30 +0000 2015,2,672426186434322432
2,Twitter Web Client,"Number of people in employment in Ireland up by 203,300 (+11%) Q1 2011 - Q1 2017. About a third of increase in hosp… https://t.co/VdGraqLRAg",,False,Wed Jul 26 10:15:41 +0000 2017,0,890153643185504256
0,Twitter Web Client,@DGWilkinson fair point - EU line has always been border will need a unique &amp; unprecedented solution,DGWilkinson,False,Thu Dec 07 14:10:13 +0000 2017,0,938772640109645824
0,Twitter for iPhone,@caddenlimos @markdevenport ok ta,,False,Wed Mar 15 20:02:17 +0000 2017,0,842103680958660609
6,Twitter Web Client,And Juncker's one word answer to the Dáil in June https://t.co/5QaSpifIwk,JP_Biz,False,Tue Jan 15 09:03:48 +0000 2019,7,1085100225038041088
0,Twitter Web Client,Average age of a first time bride in Northern Ireland has reached 30 for first time.,,False,Thu Jul 02 08:38:41 +0000 2015,0,616526392654700544
0,Twitter for iPhone,@BBCgmu it'll be @davidmcw doing the explaining!,BBCgmu,False,Fri Jun 27 07:30:02 +0000 2014,0,482425608652472320
0,Twitter for iPhone,Cookstown's Lissan Coal Company cleared £14m last year on turnover of £579m. Also invested in Singapore.  http://t.co/KumXJypDLs,,False,Tue Jul 22 10:51:19 +0000 2014,0,491535960610717696
0,Twitter Web Client,@MulligC yep,MulligC,False,Thu Oct 20 12:55:49 +0000 2016,0,789087729002876928
0,Twitter Web Client,@matrixplanning @One2oneP won't hold my breath then,matrixplanning,False,Wed Sep 28 16:08:41 +0000 2016,0,781163731296350208
1,Twitter Web Client,@CarlJWhyte @peterdonaghy @SluggerOToole I was looking at Purchasing Power Adjusted Regional GDP from Eurostat. EU… https://t.co/3niG3Shdsy,CarlJWhyte,False,Tue Jul 24 12:00:52 +0000 2018,0,1021726908675964928
0,Twitter Web Client,Been suggested to me that the Treasury is underwhelmed by Stormont's 15/16 draft budget &amp; that's reflected in the Chancellor's qualification,,False,Wed Dec 03 16:08:08 +0000 2014,2,540175661651218434
