favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
0,Twitter Web Client,Clinker (via @AdelinaMarini) https://t.co/F07Z3a8RRi https://t.co/ZnQhbFubNP,,False,Mon Jul 11 11:02:11 +0000 2016,0,752457957636444160
1,TweetDeck,BREAKING: Omagh County Primary School has been evacuated due to a security alert. More to follow on https://t.co/W8n1juAHDS,,False,Fri May 27 10:48:31 +0000 2016,8,736147062820081664
0,Twitter for Android,We live in interesting times.,,False,Wed Nov 09 07:46:01 +0000 2016,0,796257522751569920
2,Twitter for Android,Fed up with buggyness of  @BelfastBikes and the app. Getting to the stage where it's 50/50 that it'll release. Goin… https://t.co/PSTSLMvER5,,False,Fri Oct 05 11:37:58 +0000 2018,0,1048175458070810625
0,Twitter for Android,@Sedonaghey Yeah. Was switched very quickly once it went viral though.,,False,Sun Aug 18 15:28:47 +0000 2013,0,369118684914012160
1,Twitter for Android,Truly shows where NI ranks in the grand scheme of things for some in the cabinet. https://t.co/MwkEpq3hch,,False,Tue Jul 26 20:53:04 +0000 2016,2,758042474531131396
1,Twitter for Android,@Ulster_Herald @AlanJRodgers @Strab_Chronicle @MichaelDevlinSC Front page of today's @DungannonHerald. Access onlin… https://t.co/w6P2Wyfvuq,RyanMcAleerbiz,False,Thu Sep 28 09:44:38 +0000 2017,0,913338653576966144
29,Twitter Web Client,Ten years ago today... 28th September 2003. A day Tyrone fans will never forget. #GAA http://t.co/e0NVTCvXwt,,False,Sat Sep 28 10:50:20 +0000 2013,43,383906515427422208
2,Twitter for Android,Looks like the 'Leaning Tower of Carrick' has already caught on. Bangor showing how it's really done. https://t.co/2JBvpXK5xt,,False,Mon Jul 10 21:47:14 +0000 2017,1,884529473714094081
8,Twitter for Android,Great win for @TyroneGAALive. Always seem to have Monaghan's number. Massive test ahead now. Sure it's another day out.,,False,Sat Aug 08 16:46:55 +0000 2015,2,630057614097915904
14,Twitter for Android,"Video: @OrfhlaithBegley,  @MaryLouMcDonald and  @moneillsf arriving just after 1am. #WestTyrone https://t.co/pvifsjjvoa",,False,Fri May 04 00:12:19 +0000 2018,2,992195180559257600
0,Twitter for Android,@katherinemcelr2 Yeah.,katherinemcelr2,False,Wed Jun 07 20:19:23 +0000 2017,0,872548564152483840
5,Twitter for Android,This is superbly mental. 3 goals in 10 mins. Kerry absolutely terrifying going forward. But Cork playing like no fe… https://t.co/Hpfbn0JTBE,,False,Sat Jun 23 18:14:34 +0000 2018,0,1010586928310349824
0,Twitter for Android Tablets,"@AmandaFBelfast In fairness, I think that was a response to a leading question. But i don't imagine she owns any Led Zep records.",AmandaFBelfast,False,Sun Apr 26 21:49:50 +0000 2015,0,592445504866426880
0,Twitter for Android,@conorkeysomagh Calm down man. It's not like Conor Keys is leaving Omagh!,conorkeysomagh,False,Fri Jun 01 18:59:50 +0000 2018,0,1002625788653514752
